pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
11,211,76,76030,96190,159500,NA,W,3625,132,2,1,1,8,4,1,3,1,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,1272,2,2,2,NA,NA,1,CHICAGO,60616,4510,0.3711751662971175,0.01596452328159645,0.24212860310421289,0.3527716186252772,0.03281596452328159,14000,Chicago,0,0,3,0,0,0,MCCLELLAN,TILDEN HS,6.89,50982,FALSE,TRUE,TRUE
12,211,72,72150,77890,25200,AV,W,3150,67,2,2,1,7,4,1,3,2,5,2,0,2,2,0,2,NA,2,2,2,1,2,2,0,1612,2,2,2,3,NA,NA,CHICAGO,60629,4694,0.01981252662974009,0.7895185342991052,0.00532594801874733,0.12207072858968895,0.12654452492543672,14000,Chicago,0,0,3,1,0,0,MCKAY,GAGE PARK HS,6.934,28817,FALSE,TRUE,TRUE
13,203,70,70080,81610,33750,AV,W,3750,95,NA,2,1,7,3,1,3,2,5,2,0,1,1,1,2,NA,2,2,7,NA,NA,NA,0,1433,2,1,1,3,NA,1,CHICAGO,60617,5647,0.00602089605100053,0.9881352930759696,0,0.00584381087302992,0,14000,Chicago,0,0,1,0,0,0,MANN,CHICAGO VOCATIONAL HS,6.89,46162,FALSE,FALSE,TRUE
14,206,17,17080,423860,80640,NA,W,5040,107,NA,1,1,8,3,1,3,2,5,2,0,1,3,0,2,2,2,2,3,1,2,2,0,2989,2,1,2,1,NA,NA,EVANSTON,60202,2769,0.7833152762730228,0.05958829902491874,0.05850487540628386,0.05453232213795594,0.07475622968580715,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.14,101364,FALSE,TRUE,TRUE
15,203,34,34010,171330,32810,NA,W,3750,90,NA,2,1,6,3,1,3,2,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,1257,2,1,1,3,NA,NA,NORTH RIVERSIDE,60546,5025,0.6153233830845771,0.0308457711442786,0.00656716417910447,0.3227860696517413,0.04895522388059702,54144,North Riverside,0,0,1,0,0,0,SCHOOL DISTRICT 96,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,10.428,63383,FALSE,TRUE,TRUE
16,203,72,72281,50880,38590,NA,O,5146,98,NA,2,1,6,3,1,1,2,5,2,1,1,1,1,NA,NA,2,2,1,1,2,2,0,1191,2,1,1,3,NA,1,CHICAGO,60643,4067,0.01549053356282272,0.9488566510941726,0,0.01352348168182935,0.04425866732235063,14000,Chicago,0,0,1,0,0,0,GREEN,CORLISS HS,6.908,73077,FALSE,TRUE,TRUE
17,204,27,27050,370590,37170,NA,W,3717,113,NA,1,1,6,3,1,3,2,5,2,0,2,1,1,2,2,2,2,1,1,2,2,0,2132,2,1,5,1,NA,1,OAK PARK,60304,4579,0.7521292858702774,0.11203319502074688,0.03843633981218607,0.0670452063769382,0.06071194583970299,54885,Oak Park,0,0,4,1,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,111607,FALSE,TRUE,TRUE
18,206,71,71461,496530,71400,NA,W,5289,68,NA,2,1,8,4,2,3,1,5,1,0,3,3,0,2,2,2,2,7,NA,NA,NA,0,2468,2,1,2,NA,NA,NA,CHICAGO,60646,4102,0.870794734275963,0.00170648464163822,0.02389078498293515,0.08654314968308142,0.0341296928327645,14000,Chicago,0,0,1,0,0,0,WILDWOOD,TAFT HS,6.884772382397572,133622,FALSE,FALSE,TRUE
19,234,72,72361,96680,35910,AV,W,3780,46,NA,1,1,4,2,3,1,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,1032,2,1,4,NA,NA,NA,CHICAGO,60638,1654,0.07315598548972188,0.6783555018137848,0,0.23579201934703747,0.02539298669891173,14000,Chicago,0,0,5,0,0,0,HEARST,KENNEDY HS,6.873317191283292,48250,FALSE,FALSE,TRUE
20,209,23,23080,1175550,636100,NA,W,37418,45,NA,2,1,12,5,1,1,1,5,1,3,3,4,1,2,2,1,2,5,2,1,2,0,5682,2,1,2,NA,NA,NA,WINNETKA,60093,5279,0.9143777230536086,0.00303087706004925,0.02292100776662246,0.03371850729304793,0.04110627012691797,82530,Winnetka,0,0,6,0,0,0,SCH DISTRICT 36,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.997,211042,TRUE,TRUE,TRUE
21,202,37,37181,74640,22680,NA,W,6050,71,NA,1,1,6,3,1,3,1,5,2,0,2,1,1,NA,NA,2,2,1,1,2,2,0,947,2,1,5,1,NA,NA,LANSING,60438,4141,0.3487080415358609,0.5032600821057716,0,0.11374064235691862,0.06858246800289786,42028,Lansing,0,0,1,0,0,1,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,53343,FALSE,TRUE,TRUE
22,202,26,26010,171620,59400,NA,T,5166,64,NA,2,1,5,3,1,3,1,5,1,0,1,1,0,2,2,2,2,7,NA,NA,NA,0,981,2,1,1,3,NA,NA,NORRIDGE,60706,5243,0.8094602326912074,0,0.08640091550638947,0.10223154682433722,0.00381460995613198,53377,Norridge,0,0,1,0,0,0,SCHOOL DISTRICT  80,COMMUNITY HIGH SCHOOL  234,7.539,69321,FALSE,FALSE,TRUE
23,295,31,31102,184200,23200,NA,T,2730,36,NA,3,1,5,2,3,3,1,5,1,0,2,2,0,2,1,2,2,1,2,1,1,0,1473,2,1,5,1,NA,NA,WESTCHESTER,60154,5569,0.664571736397917,0.07739270964266474,0.059974860836775,0.192853295026037,0.01041479619321242,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
24,202,31,31120,137200,34650,NA,W,6300,70,NA,2,1,4,2,1,3,1,5,1,0,2,1,0,2,2,2,2,3,1,2,2,0,937,2,1,1,3,NA,NA,WESTCHESTER,60154,4492,0.39804096170970615,0.311219946571683,0.01602849510240427,0.2591273374888691,0.02938557435440783,80047,Westchester,0,0,3,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,70790,FALSE,TRUE,TRUE
25,202,72,72030,113170,37800,NA,T,3780,72,NA,1,1,6,3,1,3,1,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,848,2,1,5,1,NA,NA,CHICAGO,60629,7211,0.20635140757176537,0,0,0.7936485924282346,0,14000,Chicago,0,0,1,0,0,0,PASTEUR,HUBBARD HS,6.934,48678,FALSE,TRUE,TRUE
26,295,22,22180,249210,7100,NA,W,1093,11,NA,3,1,7,3,2,3,1,5,1,0,3,2,1,2,2,2,2,3,3,1,1,0,1775,2,1,3,NA,NA,NA,DES PLAINES,60016,4798,0.5996248436848687,0.01750729470612755,0.13005418924551895,0.2528136723634848,0,19642,Des Plaines,0,0,1,0,0,0,SCHOOL DISTRICT C C  62,MAINE TOWNSHIP HIGH SCHOOL  207,9.229,48151,FALSE,TRUE,TRUE
27,203,24,24081,219190,46740,NA,W,4920,65,NA,2,1,6,4,1,3,1,5,2,0,3,2,0,NA,NA,2,2,3,1,2,2,0,1407,2,1,1,NA,NA,NA,SKOKIE,60076,5224,0.46248085758039814,0.12117151607963246,0.27833078101071973,0.08422664624808576,0.10758039816232771,70122,Skokie,0,0,8,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,7.906,92547,FALSE,TRUE,TRUE
28,211,77,77011,174280,46860,NA,W,4807,91,4,2,2,16,8,1,3,1,5,2,0,3,4,0,2,2,2,2,7,NA,NA,NA,0,5242,2,2,2,NA,NA,1,CHICAGO,60651,5396,0,0.7981838398813936,0,0.16716085989621943,0.04058561897702002,14000,Chicago,0,0,1,0,0,0,YOUNG,ORR HS,6.89,40349,FALSE,FALSE,TRUE
29,202,20,20030,125940,32500,NA,W,5000,73,NA,2,1,6,2,2,3,1,5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,800,2,1,1,NA,NA,NA,FRANKLIN PARK,60131,4995,0.6126126126126126,0.02482482482482482,0.02102102102102102,0.3207207207207207,0.03963963963963964,27702,Franklin Park,0,0,1,0,0,0,SCHOOL DISTRICT  84,COMMUNITY HIGH SCHOOL  212,11.763,63495,FALSE,TRUE,TRUE
30,212,77,77141,273010,60040,NA,T,2555,129,4,2,1,9,6,3,3,1,5,1,0,1,4,1,2,2,2,2,7,NA,NA,NA,0,5706,2,2,3,3,NA,NA,CHICAGO,60608,1495,0.18929765886287625,0,0.00468227424749163,0.8060200668896321,0,14000,Chicago,0,0,1,0,0,0,JUNGMAN,JUAREZ HS,6.89,46875,FALSE,FALSE,TRUE
31,204,18,18090,253090,47450,NA,W,37960,63,NA,3,1,8,4,2,3,1,5,2,1,3,2,1,2,NA,2,2,3,1,2,2,0,2268,2,1,1,NA,NA,NA,ELGIN,60120,12447,0.544629227926408,0.02024584237165582,0.26351731340885354,0.1408371495139391,0.04997188077448381,NA,NA,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,9.25,97684,FALSE,TRUE,TRUE
32,211,22,22111,608710,53120,AV,W,6250,60,6,2,2,25,10,1,3,1,5,2,0,3,6,0,2,NA,2,2,7,NA,NA,NA,0,5238,2,2,2,NA,NA,NA,PARK RIDGE,60068,3946,0.8091738469336036,0.00430816016218955,0.0476431829700963,0.0957932083122149,0.05575266092245311,57875,Park Ridge,0,0,6,1,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.938,92500,FALSE,FALSE,TRUE
33,211,71,71082,238590,75610,NA,W,3437,112,2,1,1,8,4,1,3,1,5,1,0,1,2,0,2,2,2,2,3,1,2,2,0,2045,2,2,5,2,NA,1,CHICAGO,60618,6191,0.4354708447746729,0.03311258278145695,0.10418349216604748,0.4136649975771281,0.02713616540138911,14000,Chicago,0,0,6,1,0,0,CLEVELAND,SCHURZ HS,6.901516611295682,79671,FALSE,TRUE,TRUE
34,204,23,23141,320260,360000,NA,T,15000,68,NA,2,1,7,4,3,1,1,5,1,2,3,3,0,NA,NA,2,2,1,2,1,2,0,2357,2,1,1,NA,NA,NA,WILMETTE,60091,3503,0.8526976876962603,0.00685127033970882,0.07622038252926064,0.03968027405081359,0.04910077076791321,82075,Wilmette,0,0,1,0,0,1,SCH DISTRICT 39,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.823,194423,FALSE,TRUE,TRUE
35,234,13,13152,139590,41040,GD,W,8640,45,NA,1,1,7,3,3,1,1,5,1,0,3,1,1,NA,NA,2,2,3,1,1,2,0,1026,2,1,4,NA,NA,NA,OAK FOREST,60452,6595,0.6820318423047763,0.16057619408642912,0.05489006823351023,0.10250189537528431,0,54638,Oak Forest,0,0,3,0,0,0,SCHOOL DISTRICT 145,COMMUNITY HIGH SCHOOL  228,15.388,62214,FALSE,TRUE,TRUE
36,295,29,29033,202220,16500,NA,W,2640,33,NA,1,1,6,2,1,3,1,5,1,1,3,2,0,2,NA,2,2,3,1,1,1,0,1466,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,4955,0.6302724520686176,0.02119071644803229,0.2343087790110999,0.06881937436932392,0.09081735620585268,35411,Hoffman Estates,0,0,4,1,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.023,116563,FALSE,TRUE,TRUE
37,234,19,19032,198280,44000,AV,W,22000,49,NA,3,1,6,3,3,1,1,5,1,0,3,1,0,NA,NA,2,2,3,3,1,2,0,1272,2,1,4,NA,NA,NA,LEMONT,60439,5640,0.9088652482269504,0.02907801418439716,0.02127659574468085,0.04078014184397163,0,NA,NA,0,0,1,0,0,0,COMBINED SCHOOL DISTRICT C.C. NO. 113A,LEMONT TOWNSHIP HIGH SCHOOL  210,7.395,71250,FALSE,TRUE,TRUE
38,211,71,71090,241960,54370,NA,W,3750,94,2,1,1,10,4,1,3,1,2,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,1848,2,2,2,NA,NA,1,CHICAGO,60630,5228,0.6008033664881408,0.01702371843917368,0.03385615914307575,0.2982019892884468,0.08626625860749809,14000,Chicago,0,0,1,0,0,0,PRUSSING,TAFT HS,6.894,64225,FALSE,TRUE,TRUE
39,211,77,77102,90070,35830,NA,O,3050,122,NA,1,1,6,4,2,3,1,5,2,0,3,2,0,NA,NA,2,2,7,NA,NA,NA,0,2272,2,2,2,NA,NA,NA,CHICAGO,60624,1713,0.00291885580852305,0.9497956800934034,0,0.04203152364273205,0.0052539404553415,14000,Chicago,0,0,1,0,0,0,HEFFERAN,MARSHALL HS,6.913,29286,FALSE,FALSE,TRUE
40,234,12,12046,105020,36200,AV,W,7623,48,NA,3,1,6,3,3,1,1,5,1,0,3,2,0,NA,NA,2,2,3,1,1,2,0,1141,2,1,4,NA,NA,NA,LANSING,60438,6522,0.4207298374731677,0.4260962894817541,0.00919963201471941,0.11974854339159768,0.03603189205765102,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT  171,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,17.73,51485,FALSE,TRUE,TRUE
41,203,27,27080,290820,62500,NA,W,6250,107,NA,1,1,6,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1596,2,1,1,NA,NA,NA,OAK PARK,60304,4008,0.6472055888223552,0.2125748502994012,0.0029940119760479,0.12574850299401197,0.02245508982035928,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,104792,FALSE,TRUE,TRUE
42,203,37,37053,88520,23940,NA,W,5040,54,NA,2,1,6,3,1,3,1,5,1,0,3,1,1,2,NA,2,2,4,1,2,2,0,1252,2,1,1,NA,NA,NA,CALUMET CITY,60409,5886,0.08630648997621475,0.8309548080190282,0,0.07662249405368672,0.01223241590214067,10487,Calumet City,0,0,1,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.315,47423,FALSE,TRUE,TRUE
43,295,28,28099,242760,33850,NA,T,3078,16,NA,2,1,5,3,1,1,1,5,1,1,3,2,1,2,2,2,2,3,2,1,2,0,1759,2,1,1,NA,NA,NA,ORLAND PARK,60467,8884,0.8615488518685277,0.01260693381359747,0.04558757316524088,0.05571814497973886,0.04907699234579019,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  140,CONSOLIDATED HIGH SCHOOL  230,10.975,105942,FALSE,TRUE,TRUE
44,203,71,71140,152850,71920,NA,W,4960,79,NA,2,1,6,3,1,3,1,5,1,0,1,1,1,2,2,2,2,4,1,2,2,0,1393,2,1,5,1,NA,NA,CHICAGO,60634,7328,0.599754366812227,0.07273471615720524,0.05499454148471616,0.26282751091703055,0.01937772925764192,14000,Chicago,0,0,1,0,0,0,BRIDGE,STEINMETZ COLLEGE PREP HS,6.894,75339,FALSE,TRUE,TRUE
45,211,77,77051,484510,106250,NA,W,3125,130,2,2,2,10,4,1,3,1,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,2118,2,2,2,NA,NA,NA,CHICAGO,60622,3347,0.7762175082163131,0.02838362712877203,0.0358530026889752,0.12130265909769944,0.06692560501942038,14000,Chicago,0,0,6,1,0,0,PRITZKER,WELLS HS,6.89,113618,FALSE,TRUE,TRUE
46,203,21,21052,125250,34500,NA,W,6900,70,NA,2,1,6,3,2,3,2,5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1468,2,1,5,1,NA,NA,LYONS,60534,6225,0.4324497991967872,0.00562248995983935,0.02682730923694779,0.5288353413654618,0.01172690763052208,45434,Lyons,0,0,1,0,0,0,SCHOOL DISTRICT  103,BERWYN CICERO STICKNEY HIGH SCHOOL 201,13.204,63846,FALSE,TRUE,TRUE
47,278,24,24081,390140,49060,NA,O,5165,59,NA,3,1,8,3,1,1,1,5,1,0,1,3,1,2,2,2,2,3,2,2,2,0,2445,2,1,2,3,NA,1,NILES,60714,5429,0.6275557192853196,5.525879535826119e-4,0.2578743783385522,0.1057284951188064,0.01657763860747835,53000,Niles,0,0,1,0,0,0,SCHOOL DISTRICT 67,COMMUNITY HIGH SCHOOL  219,8.213,70169,FALSE,TRUE,TRUE
48,234,39,39122,149040,66830,NA,W,10283,60,NA,2,1,6,3,3,1,1,5,1,0,3,1,1,2,2,2,2,3,1,2,2,0,1207,2,1,4,NA,NA,1,OAK LAWN,60453,7002,0.663953156241074,0.0945444158811768,0.08911739502999143,0.14381605255641244,0.01713796058269066,54820,Oak Lawn,0,0,3,1,0,0,SCHOOL DISTRICT  126,COMMUNITY HIGH SCHOOL  218,12.33,62843,FALSE,TRUE,TRUE
49,204,13,13280,125200,90000,NA,T,20000,64,NA,2,1,5,3,1,3,1,5,2,0,3,2,0,NA,NA,2,2,2,2,1,2,0,1801,2,1,1,NA,NA,NA,HOMEWOOD,60430,6919,0.14626391096979333,0.8170255817314641,0.01358577829166064,0.01546466252348605,0.01300766006648359,35879,Homewood,0,0,1,0,0,0,SCHOOL DISTRICT 161,HOMEWOOD FLOSSMOOR COMM HIGH SCHOOL  233,16.637,58531,FALSE,TRUE,TRUE
50,203,38,38012,182560,50080,NA,W,8710,52,NA,3,1,5,3,1,1,1,5,2,0,3,1,0,2,NA,2,2,3,1,1,1,0,1188,2,1,1,NA,NA,NA,BUFFALO GROVE,60089,5438,0.8140860610518573,0.00257447591026112,0.04817947774917249,0.10573740345715336,0.05590290547995587,09447,Buffalo Grove,0,0,1,0,0,0,SCH DIST 21 WHEELING COMM CONSOLIDATED,ARLINGTON HTS TWNSHP H S 214,10.618,78125,FALSE,TRUE,TRUE
51,202,31,31060,120720,22380,NA,O,4712,100,NA,1,1,5,3,1,1,2,5,2,0,3,2,0,2,NA,2,2,7,NA,NA,NA,0,984,2,1,1,NA,NA,1,MAYWOOD,60153,2520,0.02142857142857143,0.7234126984126984,0,0.23809523809523808,0.03412698412698412,47774,Maywood,0,0,1,0,0,0,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,21.667,31500,FALSE,FALSE,TRUE
52,203,71,71210,130030,40920,NA,O,3720,97,NA,2,1,6,3,1,1,1,5,2,0,1,2,0,2,NA,2,2,1,1,2,2,0,1300,2,1,1,3,NA,NA,CHICAGO,60639,4963,0.00463429377392706,0.7890388877694943,0,0.19605077574047955,0.01027604271609913,14000,Chicago,0,0,1,0,0,0,YOUNG,STEINMETZ COLLEGE PREP HS,6.884772382397572,45479,FALSE,TRUE,TRUE
53,203,38,38010,231160,44170,NA,W,7683,58,NA,1,1,6,3,3,1,1,5,1,0,1,2,1,2,2,2,2,4,1,2,2,0,1235,2,1,1,3,NA,NA,MOUNT PROSPECT,60056,7037,0.5918715361659799,0.00497371038794941,0.17677987778883048,0.2181327270143527,0.0113684808867415,51089,Mount Prospect,0,0,1,0,0,0,SCHOOL DISTRICT  26,ARLINGTON HTS TWNSHP H S 214,9.89,90106,FALSE,TRUE,TRUE
54,212,73,73011,403470,119000,NA,O,2975,112,NA,1,1,10,4,1,3,1,5,1,0,1,3,0,2,2,2,2,7,NA,NA,NA,0,3590,2,1,2,1,NA,1,CHICAGO,60660,3464,0.3510392609699769,0.13221709006928406,0.12297921478060046,0.34786374133949194,0.08775981524249422,14000,Chicago,0,0,1,0,0,1,HAYT,SENN HS,6.89,38427,FALSE,FALSE,TRUE
55,205,71,71461,366710,59060,NA,T,4375,72,NA,2,1,6,4,1,1,1,5,1,1,3,1,1,2,2,2,2,3,1,2,2,0,1525,2,1,2,NA,NA,2,CHICAGO,60646,4725,0.6960846560846561,0.03047619047619047,0.1073015873015873,0.14137566137566138,0.04952380952380952,14000,Chicago,0,0,1,0,0,0,EDGEBROOK,TAFT HS,6.884772382397572,105833,FALSE,TRUE,TRUE
56,203,16,16062,241880,38500,NA,W,7700,59,NA,3,1,4,3,2,3,1,5,2,0,3,2,0,NA,NA,2,2,1,1,2,2,0,1378,2,1,1,NA,NA,NA,ELK GROVE VILLAGE,60007,6921,0.7696864614940038,0.01719404710301979,0.06718682271348071,0.13350671868227135,0.02311804652506863,23256,Elk Grove Village,0,0,1,0,0,0,SCHOOL DISTRICT C C  59,ARLINGTON HTS TWNSHP H S 214,8.349,81938,FALSE,TRUE,TRUE
57,295,31,31092,184810,7640,NA,W,1329,57,NA,2,1,5,3,1,3,1,5,2,0,3,1,1,NA,NA,2,2,7,NA,NA,NA,0,1334,2,1,2,NA,NA,NA,FOREST PARK,60130,6035,0.5367025683512842,0.2311516155758078,0.11068765534382768,0.0916321458160729,0.05733222866611433,26935,Forest Park,0,0,1,0,0,0,SCHOOL DISTRICT 91,PROVISO TOWNSHIP HIGH SCHOOL 209,12.075,59485,FALSE,FALSE,TRUE
58,203,70,70180,67400,20620,NA,O,3750,98,NA,3,1,6,3,1,1,1,2,2,0,2,2,0,1,2,2,2,7,NA,NA,NA,0,1107,2,1,1,3,NA,NA,CHICAGO,60617,3321,0.05901836796145739,0.6781090033122553,3.0111412225233364e-4,0.25082806383619394,0.02348690153568202,14000,Chicago,0,0,1,0,0,0,BURNHAM,BOWEN HS,6.908,44423,FALSE,FALSE,TRUE
